# OSU HPX Latency Test
# Size    Latency (microsec)
1         187.501
2         219.149
4         177.683
8         178.009
16        199.353
32        241.649
64        332.99
128       181.048
256       154.545
512       153.326
1024      166.039
2048      201.929
4096      203.947
8192      271.746
16384     312.595
32768     513.431
65536     777.137
131072    1432.88
262144    2627.23
524288    4940.16
1048576   9902.29
2097152   19833.4
4194304   39725.9
