# OSU HPX Latency Test
# Size    Latency (microsec)
1         182.971
2         179.66
4         179.818
8         179.302
16        179.611
32        179.211
64        179.406
128       181.844
256       187.889
512       194.361
1024      208.181
2048      211.031
4096      198.079
8192      196.166
16384     271.919
32768     425.226
65536     722.944
131072    1305.63
262144    2475.62
524288    4808.06
1048576   9542.59
2097152   19273.7
4194304   38506.7
