# OSU HPX Multi Latency Test
# Size    Bandwidth (microsec)
1         107.942
2         104.483
4         104.168
8         104.41
16        104.473
32        105.176
64        105.807
128       107.026
256       112.703
512       118.429
1024      130.682
2048      142.459
4096      161.886
8192      196.809
16384     269.312
32768     420.576
65536     715.637
131072    1334.5
262144    2458.02
524288    4794.62
1048576   9535.91
2097152   19373
4194304   39099
