# OSU HPX Multi Latency Test
# Size    Bandwidth (microsec)
1         150.915
2         145.346
4         148.26
8         143.655
16        144.351
32        143.853
64        145.451
128       144.148
256       150.04
512       155.6
1024      172.966
2048      189.656
4096      214.857
8192      250.213
16384     351.031
32768     522.289
65536     830.457
131072    2077.73
262144    4094.01
524288    7051.49
1048576   15480.7
2097152   26663.5
4194304   51224.8
