# OSU HPX Bandwidth Test
# Size    Bandwidth (MB/s)
1         0.00226885
2         0.00470351
4         0.00889458
8         0.0196857
16        0.0391063
32        0.0713873
64        0.130327
128       0.312568
256       0.632116
512       1.37173
1024      2.95809
2048      5.70205
4096      9.53153
8192      19.819
16384     32.8167
32768     50.5267
65536     45.5146
131072    84.6114
262144    95.5606
524288    100.317
1048576   100.67
2097152   101.96
4194304   103.675
