# OSU HPX Multi Latency Test
# Size    Bandwidth (microsec)
1         115.769
2         109.73
4         109.363
8         109.52
16        109.827
32        110.3
64        111
128       112.239
256       117.653
512       123.368
1024      135.523
2048      147.475
4096      168.164
8192      200.953
16384     274.821
32768     438.073
65536     759.595
131072    1597.73
262144    2748.69
524288    5220.96
1048576   9679.96
2097152   20270.3
4194304   39087.5
