# OSU HPX Multi Latency Test
# Size    Bandwidth (microsec)
1         113.445
2         108.147
4         108.237
8         108.109
16        108.419
32        109.439
64        109.575
128       111.088
256       116.472
512       122.28
1024      134.464
2048      146.926
4096      166.625
8192      202.242
16384     272.997
32768     439.218
65536     737.471
131072    1862.1
262144    2744.82
524288    4934.66
1048576   9670.31
2097152   20164.5
4194304   39197.5
