# OSU HPX Multi Latency Test
# Size    Bandwidth (microsec)
1         165.344
2         170.98
4         131.916
8         129.643
16        129.408
32        131.469
64        134.36
128       133.304
256       139.201
512       141.694
1024      158.946
2048      172.355
4096      200.897
8192      234.539
16384     292.112
32768     457.45
65536     956.528
131072    2207.18
262144    3982.89
524288    6635.64
1048576   14830.8
2097152   23223.8
4194304   42157.4
