# OSU HPX Multi Latency Test
# Size    Bandwidth (microsec)
1         117.134
2         113.361
4         113.065
8         113.167
16        113.444
32        113.824
64        114.443
128       115.748
256       121.171
512       126.457
1024      137.204
2048      149.932
4096      169.922
8192      207.347
16384     279.236
32768     428.189
65536     726.2
131072    1339.77
262144    2475.34
524288    4803.42
1048576   9542.24
2097152   20800.2
4194304   39184.7
