# OSU HPX Latency Test
# Size    Latency (microsec)
1         201.687
2         194.637
4         192.62
8         210.861
16        188.984
32        191.078
64        189.441
128       218.532
256       200.347
512       204.331
1024      218.449
2048      252.602
4096      256.034
8192      214.59
16384     288.722
32768     481.331
65536     813.235
131072    1430.96
262144    2590.23
524288    4937.79
1048576   9768.4
2097152   19798.6
4194304   39625.7
