# OSU HPX Bandwidth Test
# Size    Bandwidth (MB/s)
1         0.00261686
2         0.00527593
4         0.0105827
8         0.0211574
16        0.0423314
32        0.0843275
64        0.174193
128       0.346417
256       0.683373
512       1.3438
1024      2.59951
2048      5.72585
4096      11.7222
8192      21.2208
16384     34.6195
32768     52.2095
65536     69.983
131072    85.9556
262144    97.2492
524288    106.76
1048576   109.698
2097152   108.9
4194304   109.178
