# OSU HPX Latency Test
# Size    Latency (microsec)
1         190.505
2         188.441
4         188.235
8         187.809
16        187.978
32        188.471
64        189.474
128       190.933
256       194.495
512       192.799
1024      206.312
2048      190.903
4096      203.637
8192      228.807
16384     305.594
32768     466.474
65536     746.332
131072    1300.14
262144    2463.74
524288    4796.51
1048576   9512.99
2097152   19218.6
4194304   38399.7
