# OSU HPX Multi Latency Test
# Size    Bandwidth (microsec)
1         113.076
2         108.307
4         107.978
8         108.239
16        108.533
32        108.866
64        109.832
128       111.068
256       116.371
512       122.136
1024      134.231
2048      146.606
4096      166.594
8192      200.668
16384     273.29
32768     431.091
65536     754.11
131072    1341.84
262144    3019.05
524288    5073.81
1048576   9815.7
2097152   19909.6
4194304   39049.9
