# OSU HPX Multi Latency Test
# Size    Bandwidth (microsec)
1         116.529
2         110.116
4         109.8
8         109.942
16        111.07
32        111.494
64        111.461
128       113.601
256       118.322
512       123.482
1024      134.519
2048      147.887
4096      164.602
8192      203.984
16384     278.061
32768     428.891
65536     725.816
131072    1338.78
262144    2475.58
524288    4804.28
1048576   9533.99
2097152   19544.5
4194304   39361.1
