# OSU HPX Bandwidth Test
# Size    Bandwidth (MB/s)
1         0.00240903
2         0.00454382
4         0.00835256
8         0.0165464
16        0.0367094
32        0.0803068
64        0.169618
128       0.30331
256       1.08938
512       1.80007
1024      3.46714
2048      6.70017
4096      14.2229
8192      25.7744
16384     41.2182
32768     58.5738
65536     57.2197
131072    58.4857
262144    88.0487
524288    98.1832
1048576   101.929
2097152   98.5483
4194304   101.166
