# OSU HPX Multi Latency Test
# Size    Bandwidth (microsec)
1         115.657
2         110.584
4         110.435
8         109.841
16        110.623
32        111.131
64        111.274
128       112.788
256       118.384
512       124.132
1024      136.23
2048      148.866
4096      167.626
8192      202.363
16384     276.284
32768     445.36
65536     767.504
131072    1346.62
262144    3024.65
524288    4803.62
1048576   9824.37
2097152   20067.9
4194304   39099.9
