# OSU HPX Multi Latency Test
# Size    Bandwidth (microsec)
1         143.482
2         135.718
4         138.054
8         139.139
16        140.101
32        143.48
64        140.115
128       143.619
256       145.862
512       157.455
1024      166.258
2048      185.62
4096      207.628
8192      254.662
16384     406.044
32768     513.938
65536     893.904
131072    2181.69
262144    3911.66
524288    7234.6
1048576   13667.2
2097152   27631.9
4194304   48718.2
