# OSU HPX Multi Latency Test
# Size    Bandwidth (microsec)
1         113.363
2         106.494
4         105.936
8         106
16        106.307
32        106.89
64        107.594
128       108.885
256       114.401
512       120.032
1024      132.155
2048      144.54
4096      164.73
8192      202.179
16384     272.372
32768     422.902
65536     720.771
131072    1337.29
262144    2465.6
524288    4801.12
1048576   9558.01
2097152   19421.5
4194304   39200.5
