# OSU HPX Multi Latency Test
# Size    Bandwidth (microsec)
1         146.159
2         142.355
4         143.977
8         142.329
16        141.637
32        142.863
64        146.017
128       146.119
256       153.706
512       160.114
1024      173.341
2048      190.717
4096      215.519
8192      252.728
16384     316.845
32768     508.37
65536     882.183
131072    2090.43
262144    3817.32
524288    7228.8
1048576   13961.7
2097152   26467.4
4194304   46620.8
