# OSU HPX Multi Latency Test
# Size    Bandwidth (microsec)
1         115.65
2         106.952
4         106.626
8         106.42
16        106.65
32        106.81
64        108.278
128       109.526
256       115.138
512       120.549
1024      131.76
2048      145.409
4096      166.594
8192      198.331
16384     274.681
32768     441.744
65536     726.225
131072    1338.12
262144    2466.18
524288    4803.68
1048576   9545.18
2097152   19436.4
4194304   39120.6
