# OSU HPX Bandwidth Test
# Size    Bandwidth (MB/s)
1         0.00265043
2         0.00537389
4         0.0107832
8         0.0216003
16        0.0431654
32        0.0860785
64        0.17221
128       0.343353
256       0.676897
512       1.33173
1024      2.57774
2048      4.98569
4096      9.19964
8192      17.5046
16384     29.6131
32768     45.1658
65536     63.0573
131072    90.2138
262144    102.245
524288    107.771
1048576   109.638
2097152   108.678
4194304   108.881
