# OSU HPX Multi Latency Test
# Size    Bandwidth (microsec)
1         145.187
2         141.277
4         143.248
8         141.247
16        142.437
32        143.586
64        143.22
128       146.207
256       151.67
512       157.122
1024      172.743
2048      186.743
4096      210.12
8192      248.39
16384     318.937
32768     494.211
65536     858.223
131072    1899.16
262144    3896.96
524288    7927.51
1048576   14472.1
2097152   22421.1
4194304   45593.5
