# OSU HPX Multi Latency Test
# Size    Bandwidth (microsec)
1         239.354
2         193.294
4         167.905
8         131.92
16        133.638
32        140.69
64        129.38
128       127.136
256       136.549
512       142.798
1024      156.783
2048      172.495
4096      196.901
8192      239.447
16384     291.606
32768     481.647
65536     843.098
131072    1954.72
262144    3985.75
524288    7412.2
1048576   13982.1
2097152   28920.4
4194304   57734
