# OSU HPX Multi Latency Test
# Size    Bandwidth (microsec)
1         143.176
2         143.162
4         143.104
8         141.191
16        142.348
32        141.518
64        145.368
128       143.522
256       153.097
512       156.753
1024      171.474
2048      184.943
4096      210.877
8192      254.775
16384     329.364
32768     529.59
65536     921.343
131072    2183.07
262144    3800.72
524288    7589.51
1048576   14141.7
2097152   28092.8
4194304   55075.8
