# OSU HPX Multi Latency Test
# Size    Bandwidth (microsec)
1         117.478
2         112.547
4         112.063
8         112.614
16        111.06
32        111.65
64        111.92
128       113.252
256       118.268
512       123.235
1024      134.628
2048      147.505
4096      164.669
8192      201.99
16384     278.258
32768     427.385
65536     725.453
131072    1338.19
262144    2471.13
524288    4813.21
1048576   10100.1
2097152   20519.6
4194304   41112.7
