OSU HPX Bandwidth Test
Size,Bandwidth (MB/s)
1,0.000556004
2,0.0013873
4,0.00263266
8,0.00435063
16,0.0124815
32,0.0364133
64,0.0500297
128,0.122892
256,0.160085
512,0.355178
1024,0.673779
2048,1.11384
4096,2.92566
8192,4.8816
16384,13.6282
32768,16.383
65536,54.2719
131072,65.5085
262144,218.049
524288,327.537
1048576,660.141
2097152,1165.08
4194304,5781.22
