OSU HPX Bi-Directional Test
Size,Bandwidth (MB/s)
1,0.384853
2,0.746829
4,1.48683
8,2.74205
16,5.32446
32,10.2003
64,19.6837
128,37.7548
256,72.1428
512,133.179
1024,249.05
2048,476.006
4096,883.175
8192,1651.57
16384,3245.87
32768,6233.5
65536,12454.6
131072,25088.2
262144,49359.8
524288,98768.3
1048576,198189
2097152,386233
4194304,768280
