OSU HPX Bi-Directional Test
Size,Bandwidth (MB/s)
1,0.248028
2,0.52769
4,0.998614
8,1.91323
16,3.75235
32,7.21966
64,14.0215
128,27.3927
256,52.5597
512,99.3198
1024,189.185
2048,361.57
4096,680.753
8192,1314.25
16384,2628.63
32768,5090.51
65536,10115
131072,20437.1
262144,40830.8
524288,81653.5
1048576,164435
2097152,318102
4194304,644345
