OSU HPX Latency Test
Size,Latency (microsec)
1,5.43966
2,5.49075
4,5.06073
8,4.98468
16,5.26572
32,4.89987
64,4.85858
128,5.02486
256,5.35068
512,4.82947
1024,4.85597
2048,5.17119
4096,4.98182
8192,5.12676
16384,4.99855
32768,4.89121
65536,4.89088
131072,4.87319
262144,5.0368
524288,5.0566
1048576,5.10784
2097152,4.91313
4194304,4.80644
