OSU HPX Latency Test
Size,Latency (microsec)
1,7.98268
2,7.49738
4,7.36528
8,8.4964
16,7.6646
32,8.29649
64,8.06876
128,7.71211
256,7.44981
512,7.64524
1024,7.35209
2048,7.21613
4096,8.38926
8192,7.85686
16384,7.22893
32768,7.18728
65536,7.76512
131072,7.08792
262144,7.25155
524288,7.34635
1048576,7.27115
2097152,7.36033
4194304,7.48239
