OSU HPX Bandwidth Test
Size,Bandwidth (MB/s)
1,0.0581494
2,0.156573
4,0.332068
8,0.662157
16,1.3262
32,2.66321
64,5.14201
128,10.7452
256,21.5935
512,40.2674
1024,85.5235
2048,170.941
4096,326.993
8192,679.938
16384,1359.62
32768,2730.99
65536,5474.59
131072,10904.8
262144,17731.2
524288,43517.5
1048576,87334.4
2097152,173813
4194304,273225
