OSU HPX Bandwidth Test
Size,Bandwidth (MB/s)
1,0.0670032
2,0.127554
4,0.273456
8,0.550944
16,1.04745
32,2.41968
64,4.67798
128,9.44337
256,18.8908
512,37.2458
1024,75.6676
2048,143.863
4096,300.768
8192,631.642
16384,1113.44
32768,2559.44
65536,3687.65
131072,10120
262144,19621.7
524288,39715.5
1048576,74925.3
2097152,151182
4194304,300530
