OSU HPX Bi-Directional Test
Size,Bandwidth (MB/s)
1,0.241624
2,0.500365
4,0.960644
8,1.88195
16,3.666
32,7.14138
64,13.8247
128,26.6785
256,51.7597
512,98.6728
1024,188.606
2048,364.792
4096,694.995
8192,1350.05
16384,2691.18
32768,5203.67
65536,10262
131072,20738.3
262144,40407.1
524288,81065
1048576,163389
2097152,317697
4194304,639253
