OSU HPX Bi-Directional Test
Size,Bandwidth (MB/s)
1,0.424902
2,0.775043
4,1.47694
8,2.76548
16,5.17326
32,9.58576
64,17.9004
128,33.8542
256,64.6453
512,120.505
1024,224.005
2048,432.705
4096,811.409
8192,1554.79
16384,3089.87
32768,5960.91
65536,11919.7
131072,24033.4
262144,47033.2
524288,94420.2
1048576,188048
2097152,363248
4194304,730501
