OSU HPX Bandwidth Test
Size,Bandwidth (MB/s)
1,0.0544604
2,0.119068
4,0.245482
8,0.496255
16,0.971542
32,1.87387
64,3.78791
128,8.15875
256,15.958
512,30.5901
1024,62.4708
2048,128.652
4096,255.802
8192,473.382
16384,1069.28
32768,2132.48
65536,4094.58
131072,8278.28
262144,16426.1
524288,30976.7
1048576,61703.8
2097152,127171
4194304,222882
