OSU HPX Latency Test
Size,Latency (microsec)
1,5.72998
2,5.67951
4,5.84026
8,5.62446
16,5.64027
32,5.77895
64,5.59079
128,5.61116
256,5.95287
512,5.65892
1024,5.61303
2048,5.86222
4096,5.61608
8192,5.643
16384,5.93212
32768,5.59734
65536,5.60376
131072,5.93911
262144,5.67104
524288,5.59901
1048576,5.93086
2097152,5.60969
4194304,5.64167
