OSU HPX Bi-Directional Test
Size,Bandwidth (MB/s)
1,0.168111
2,0.326133
4,0.638826
8,1.26421
16,2.46343
32,4.31805
64,8.90159
128,17.5195
256,34.0389
512,61.8892
1024,118.326
2048,218.024
4096,431.979
8192,832.274
16384,1603.7
32768,2962.72
65536,6303.87
131072,13078.6
262144,24912
524288,50208.2
1048576,96050.9
2097152,183010
4194304,381783
