OSU HPX Bandwidth Test
Size,Bandwidth (MB/s)
1,0.061534
2,0.126867
4,0.250037
8,0.555854
16,1.08893
32,2.19878
64,4.31811
128,8.55642
256,17.8001
512,34.9466
1024,68.3172
2048,140.373
4096,285.648
8192,534.315
16384,1130.66
32768,2186.67
65536,4764.23
131072,8502.34
262144,17481.9
524288,37123.4
1048576,69667
2097152,142452
4194304,277315
