OSU HPX Bi-Directional Test
Size,Bandwidth (MB/s)
1,0.488536
2,0.88962
4,1.71986
8,3.13399
16,5.88753
32,11.0998
64,20.8219
128,38.755
256,73.5175
512,134.436
1024,248.927
2048,476.072
4096,906.404
8192,1748.79
16384,3469.24
32768,6694
65536,13413.8
131072,26832.8
262144,52880
524288,105661
1048576,212810
2097152,409740
4194304,819607
