OSU HPX Latency Test
Size,Latency (microsec)
1,5.51121
2,5.13687
4,4.71912
8,5.0773
16,4.659
32,4.9673
64,4.83382
128,5.17177
256,4.9909
512,4.91453
1024,5.10934
2048,4.6577
4096,4.91779
8192,4.95918
16384,4.85984
32768,4.7808
65536,4.74896
131072,5.25526
262144,4.81569
524288,4.72482
1048576,5.02389
2097152,4.75264
4194304,4.69022
