OSU HPX Latency Test
Size,Latency (microsec)
1,5.21166
2,5.22027
4,5.32313
8,5.1717
16,5.19345
32,5.39445
64,5.31595
128,5.24736
256,5.32983
512,5.32221
1024,5.31313
2048,5.06327
4096,5.31245
8192,5.34143
16384,5.48625
32768,5.23114
65536,5.1066
131072,5.396
262144,5.26197
524288,5.24174
1048576,5.61568
2097152,5.32045
4194304,5.36198
