OSU HPX Latency Test
Size,Latency (microsec)
1,1320
2,1358.09
4,1199.59
8,1000.01
16,1141.41
32,1341.21
64,1440.27
128,1318.14
256,900.052
512,939.862
1024,1181.51
2048,1460.53
4096,1398
8192,1078.98
16384,1019.89
32768,1080.02
65536,1281.47
131072,1520.9
262144,1377.66
524288,1259.12
1048576,1119.85
2097152,1120.07
4194304,981.602
