OSU HPX Latency Test
Size,Latency (microsec)
1,539.45
2,518.249
4,400.757
8,460.07
16,538.395
32,400.687
64,580.177
128,578.412
256,480.766
512,540.139
1024,618.243
2048,480.714
4096,560.601
8192,580.121
16384,459.055
32768,540.096
65536,620.067
131072,519.146
262144,480.799
524288,599.97
1048576,499.268
2097152,460.425
4194304,540.08
