OSU HPX Bandwidth Test
Size,Bandwidth (MB/s)
1,0.000217406
2,0.000549714
4,0.000961543
8,0.00202149
16,0.00459568
32,0.00898849
64,0.0166615
128,0.0336885
256,0.0719291
512,0.118519
1024,0.251135
2048,0.465395
4096,1.00395
8192,2.52654
16384,3.14936
32768,8.64333
65536,29.796
131072,54.4018
262144,43.8309
524288,154.87
1048576,374.574
2097152,615.126
4194304,736.164
