OSU HPX Bandwidth Test
Size,Bandwidth (MB/s)
1,0.0419014
2,0.0910588
4,0.187975
8,0.372005
16,0.742053
32,1.51541
64,2.9014
128,5.7615
256,11.8466
512,23.4531
1024,47.9164
2048,91.7948
4096,198.971
8192,392.139
16384,741.519
32768,1530.25
65536,3092.31
131072,4730.21
262144,13305.6
524288,22869.9
1048576,51789.6
2097152,96388.7
4194304,211360
