OSU HPX Bi-Directional Test
Size,Bandwidth (MB/s)
1,0.247086
2,0.525463
4,1.00653
8,1.98529
16,3.86767
32,7.50103
64,14.5803
128,28.5118
256,54.8404
512,104.352
1024,201.798
2048,390.05
4096,743.484
8192,1442.92
16384,2852.78
32768,5533.31
65536,11050.9
131072,22200
262144,43577.2
524288,87499.7
1048576,177982
2097152,340582
4194304,687293
