OSU HPX Bandwidth Test
Size,Bandwidth (MB/s)
1,0.00232554
2,0.00487047
4,0.00911294
8,0.0181289
16,0.0397949
32,0.0788156
64,0.157472
128,0.281623
256,0.667651
512,1.48814
1024,2.34075
2048,5.58798
4096,8.89162
8192,20.1063
16384,32.6533
32768,49.8555
65536,68.3642
131072,69.8212
262144,93.6979
524288,104.383
1048576,103.978
2097152,102.216
4194304,101.667
