OSU HPX Latency Test
Size,Latency (microsec)
1,178.529
2,175.958
4,216.239
8,174.336
16,215.456
32,176.181
64,176.41
128,197.393
256,183.364
512,196.15
1024,211.458
2048,203.617
4096,373.103
8192,281.86
16384,366.663
32768,523.113
65536,781.51
131072,1500.91
262144,2669.97
524288,5052.09
1048576,9810.19
2097152,19981.4
4194304,39780.4
