OSU HPX Latency Test
Size,Latency (microsec)
1,196.503
2,187.668
4,187.302
8,208.381
16,186.924
32,187.663
64,187.736
128,232.748
256,189.442
512,197.171
1024,230.481
2048,243.907
4096,276.935
8192,440.475
16384,326.051
32768,487.29
65536,793.089
131072,1458.57
262144,2702.55
524288,5009.98
1048576,9980.44
2097152,20121.3
4194304,39986.6
