OSU HPX Latency Test
Size,Latency (microsec)
1,199.516
2,191.238
4,189.849
8,235.596
16,216.419
32,195.756
64,196.251
128,199.513
256,221.72
512,205.659
1024,178.684
2048,193.258
4096,241.884
8192,250.101
16384,371.468
32768,499.922
65536,782.72
131072,1439.38
262144,2608.21
524288,4992.47
1048576,10065.7
2097152,20122.4
4194304,40194.3
