OSU HPX Bandwidth Test
Size,Bandwidth (MB/s)
1,0.00266688
2,0.00537097
4,0.0107351
8,0.02158
16,0.0430317
32,0.0859833
64,0.172487
128,0.342819
256,0.674096
512,1.32545
1024,2.56212
2048,5.84146
4096,11.2841
8192,20.8045
16384,34.3948
32768,51.6912
65536,70.8234
131072,94.4588
262144,103.149
524288,107.978
1048576,109.854
2097152,108.89
4194304,109.088
