OSU HPX Multi Latency Test
Size,Bandwidth (microsec)
1,115.874
2,106.318
4,105.846
8,105.799
16,105.955
32,106.66
64,107.384
128,108.549
256,114.364
512,120.213
1024,132.243
2048,144.317
4096,163.823
8192,196.369
16384,274.306
32768,422.374
65536,720.221
131072,1339.02
262144,2464.91
524288,4794.09
1048576,9555.48
2097152,19477.9
4194304,39175
