OSU HPX Bandwidth Test
Size,Bandwidth (MB/s)
2,0.00528222
4,0.0105945
8,0.0211573
16,0.0424663
32,0.0849069
64,0.169202
128,0.336553
256,0.663456
512,1.29752
1024,2.50156
2048,5.29558
4096,11.2721
8192,21.3917
16384,35.4334
32768,53.3586
65536,70.9584
131072,89.6491
262144,103.049
524288,107.554
1048576,109.735
2097152,108.952
4194304,109.208
