OSU HPX Multi Latency Test
Size,Bandwidth (microsec)
1,138.188
2,133.626
4,132.478
8,134.61
16,134.759
32,135.318
64,134.058
128,138.54
256,144.088
512,147.827
1024,162.658
2048,176.043
4096,197.404
8192,238.642
16384,291.755
32768,558.31
65536,812.888
131072,1791.46
262144,3860.23
524288,7532.63
1048576,13017.3
2097152,24898.3
4194304,42945.8
