OSU HPX Multi Latency Test
Size,Bandwidth (microsec)
1,136.979
2,132.09
4,131.087
8,135.779
16,133.865
32,130.41
64,131.146
128,131.521
256,142.401
512,150.894
1024,161.494
2048,174.277
4096,201.982
8192,243.485
16384,330.436
32768,515.292
65536,861.124
131072,1833.66
262144,3557.75
524288,6611.65
1048576,14872.2
2097152,25456.5
4194304,43318.5
