OSU HPX Latency Test
Size,Latency (microsec)
1,182.039
2,180.776
4,179.673
8,180.156
16,179.873
32,179.893
64,180.542
128,182.239
256,188.311
512,195.746
1024,208.677
2048,222.776
4096,251.571
8192,244.49
16384,323.712
32768,445.388
65536,723.192
131072,1304.02
262144,2473.64
524288,4807.21
1048576,9538.42
2097152,19272.8
4194304,38535.9
