OSU HPX Multi Latency Test
Size,Bandwidth (microsec)
1,112.767
2,110.876
4,110.487
8,110.952
16,111.101
32,111.755
64,112.8
128,114.262
256,118.888
512,124.026
1024,134.685
2048,146.664
4096,168.184
8192,204.544
16384,279.857
32768,422.981
65536,723.351
131072,1338.91
262144,2468.87
524288,4787.34
1048576,9528.9
2097152,19537.8
4194304,39365.3
