OSU HPX Latency Test
Size,Latency (microsec)
2,183.752
4,182.914
8,182.316
16,181.76
32,181.869
64,181.451
128,183.418
256,189.738
512,196.856
1024,171.601
2048,190.475
4096,218.731
8192,248.053
16384,331.359
32768,473.146
65536,718.615
131072,1301.07
262144,2464.02
524288,4795.96
1048576,9512.57
2097152,19202.3
4194304,38380.3
