OSU HPX Bandwidth Test
Size,Bandwidth (MB/s)
1,0.00244444
2,0.00508041
4,0.0100734
8,0.0199382
16,0.0397252
32,0.0721721
64,0.167818
128,0.295163
256,0.803251
512,1.57771
1024,3.28986
2048,7.62511
4096,13.645
8192,20.3321
16384,27.3848
32768,34.6291
65536,75.3342
131072,90.7538
262144,100.679
524288,101.92
1048576,109.665
2097152,104.186
4194304,102.151
