OSU HPX Bi-Directional Test
Size,Bandwidth (MB/s)
2,0.132743
4,0.256423
8,0.481449
16,0.93967
32,1.8175
64,3.48365
128,6.92274
256,14.1317
512,29.839
1024,52.6702
2048,83.5213
4096,114.823
8192,138.489
16384,164.861
32768,187.1
65536,166.816
131072,187.992
262144,202.826
524288,189.471
1048576,185.193
2097152,149.129
