OSU HPX Multi Latency Test
Size,Bandwidth (microsec)
1,177.75
2,221.072
4,155.244
8,132.427
16,133.816
32,134.299
64,135.145
128,134.138
256,143.61
512,151.998
1024,165.01
2048,178.834
4096,206.325
8192,241.114
16384,321.917
32768,497.369
65536,896.236
131072,1961.96
262144,4094.78
524288,7501.04
1048576,12724.6
2097152,26400.2
4194304,50358.3
