OSU HPX Bandwidth Test
Size,Bandwidth (MB/s)
1,0.00263839
2,0.00538084
4,0.010797
8,0.0216712
16,0.0432572
32,0.0862194
64,0.172402
128,0.343437
256,0.676482
512,1.33173
1024,3.10753
2048,6.25447
4096,11.5035
8192,21.6032
16384,35.6504
32768,53.0585
65536,71.1074
131072,87.0686
262144,97.2799
524288,106.207
1048576,109.394
2097152,108.667
4194304,108.864
