OSU HPX Latency Test
Size,Latency (microsec)
1,177.249
2,174.28
4,173.973
8,173.687
16,176.053
32,172.462
64,174.206
128,176.561
256,180.892
512,183.143
1024,196.826
2048,215.532
4096,217.346
8192,225.335
16384,303.476
32768,465.753
65536,747.891
131072,1297.97
262144,2463.33
524288,4794.64
1048576,9518.21
2097152,19233.6
4194304,38456.3
